Year,Lg,Tm,City,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2003,NFL,Kansas City Chiefs*,Kansas City,13,3,0,1st of 4,Lost Div,484,332,152,Vermeil,Holmes,Green,Holmes,Gonzalez,1,2,19,29,1,1,16,32,9.5,-1.2,8.3,9.2,-0.9
2002,NFL,Kansas City Chiefs,Kansas City,8,8,0,4th of 4,,467,399,68,Vermeil,Holmes,Green,Holmes,Kennison,1,4,28,32,3,7,19,32,4.3,1.9,6.1,8.4,-2.3
2001,NFL,Kansas City Chiefs,Kansas City,6,10,0,4th of 5,,320,344,-24,Vermeil,Holmes,Green,Holmes,Gonzalez,16,5,23,23,22,17,6,31,-1.5,0.3,-1.2,-0.2,-1
2000,NFL,Kansas City Chiefs,Kansas City,7,9,0,3rd of 5,,355,354,1,Cunningham,Grbac,Grbac,Richardson,Alexander,9,8,19,18,11,17,13,31,0.1,0.6,0.6,0.1,0.6
1999,NFL,Kansas City Chiefs,Kansas City,9,7,0,2nd of 5,,390,322,68,Cunningham,Patton,Grbac,Bennett,Gonzalez,8,12,13,14,1,6,10,31,4.3,2.6,6.8,5.5,1.3
1998,NFL,Kansas City Chiefs,Kansas City,7,9,0,4th of 5,,327,363,-36,Schottenheimer,Shields,Gannon,Bennett,Alexander,14,19,22,9,14,16,16,30,-2.3,-0.8,-3.1,-0.7,-2.4
1997,NFL,Kansas City Chiefs*,Kansas City,13,3,0,1st of 5,Lost Div,375,232,143,Schottenheimer,Hasty,Grbac,Hill,Rison,5,14,1,11,3,2,10,30,8.9,-0.5,8.4,1.8,6.6
1996,NFL,Kansas City Chiefs,Kansas City,9,7,0,2nd of 5,,297,300,-3,Schottenheimer,Carter,Bono,Allen,Penn,24,22,11,18,11,15,19,30,-0.2,2,1.8,-0.7,2.5
1995,NFL,Kansas City Chiefs*,Kansas City,13,3,0,1st of 5,Lost Div,358,241,117,Schottenheimer,Smith,Bono,Allen,Davis,12,14,1,2,1,3,5,30,7.3,0.3,7.6,0.8,6.9
1994,NFL,Kansas City Chiefs*,Kansas City,9,7,0,2nd of 5,Lost WC,319,298,21,Schottenheimer,Thomas,Montana,Allen,Davis,14,5,7,12,2,10,6,28,1.3,-0.4,0.9,-1.3,2.1
1993,NFL,Kansas City Chiefs*,Kansas City,11,5,0,1st of 5,Lost Conf,328,291,37,Schottenheimer,Smith,Montana,Allen,Davis,8,16,14,11,5,9,13,28,2.3,0.6,2.9,1.9,1
1992,NFL,Kansas City Chiefs*,Kansas City,10,6,0,2nd of 5,Lost WC,348,282,66,Schottenheimer,Thomas,Krieg,Word,Davis,7,25,13,5,1,10,12,28,4.1,-0.7,3.4,3.7,-0.2
1991,NFL,Kansas City Chiefs*,Kansas City,10,6,0,2nd of 5,Lost Div,322,252,70,Schottenheimer,Thomas,DeBerg,Okoye,Barnett,10,5,7,13,5,6,10,28,4.4,2,6.4,1.8,4.5
1990,NFL,Kansas City Chiefs*,Kansas City,11,5,0,2nd of 5,Lost WC,369,257,112,Schottenheimer,Thomas,DeBerg,Word,Paige,6,7,5,16,1,4,11,28,7,-0.3,6.7,2.7,4.1
1989,NFL,Kansas City Chiefs,Kansas City,8,7,1,2nd of 5,,318,286,32,Schottenheimer,Lewis,DeBerg,Okoye,Paige,17,13,8,2,21,12,4,28,2,0,2,-0.1,2.1
1988,NFL,Kansas City Chiefs,Kansas City,4,11,1,5th of 5,,254,320,-66,Gansz,Cherry,DeBerg,Okoye,Paige,23,22,15,10,17,21,18,28,-4.1,-1.6,-5.7,-6,0.3
1987,NFL,Kansas City Chiefs,Kansas City,4,11,0,5th of 5,,273,388,-115,Gansz,Carson,Kenney,Okoye,Carson,23,24,27,27,25,26,27,28,-7.7,-0.3,-8,-3.2,-4.8
1986,NFL,Kansas City Chiefs*,Kansas City,10,6,0,2nd of 5,Lost WC,358,326,32,Mackovic,Maas,Kenney,Pruitt,Paige,12,28,13,8,3,11,26,28,2,-1,1,1.2,-0.1
1985,NFL,Kansas City Chiefs,Kansas City,6,10,0,5th of 5,,317,360,-43,Mackovic,Cherry,Kenney,Heard,Paige,18,22,18,21,5,20,22,28,-2.7,1.1,-1.6,-2,0.4
1984,NFL,Kansas City Chiefs,Kansas City,8,8,0,4th of 5,,314,324,-10,Mackovic,Cherry,Kenney,Heard,Carson,17,17,15,24,8,16,22,28,-0.6,1.5,0.8,-0.8,1.6
1983,NFL,Kansas City Chiefs,Kansas City,6,10,0,5th of 5,,386,367,19,Mackovic,Kenney,Kenney,Jackson,Carson,8,9,21,14,5,9,12,28,1.2,0.9,2,1.7,0.3
1982,NFL,Kansas City Chiefs,Kansas City,3,6,0,4th of 5,,176,184,-8,Levy,Green,Kenney,Delaney,Marshall,16,25,18,10,1,15,20,28,-0.9,0.7,-0.2,-1.9,1.6
1981,NFL,Kansas City Chiefs,Kansas City,9,7,0,3rd of 5,,343,290,53,Levy,Green,Kenney,Delaney,Smith,12,17,10,17,13,11,16,28,3.3,-0.1,3.2,0.4,2.8
1980,NFL,Kansas City Chiefs,Kansas City,8,8,0,3rd of 5,,319,336,-17,Levy,Barbaro,Fuller,McKnight,Marshall,14,28,19,18,2,16,26,28,-1.1,0.6,-0.5,-0.8,0.3
1979,NFL,Kansas City Chiefs,Kansas City,7,9,0,5th of 5,,238,262,-24,Levy,Barbaro,Fuller,McKnight,Smith,26,27,5,12,12,18,25,28,-1.5,2.9,1.4,-4,5.4
1978,NFL,Kansas City Chiefs,Kansas City,4,12,0,5th of 5,,243,327,-84,Levy,Reed,Livingston,Reed,Reed,24,15,22,20,11,26,17,28,-5.3,0.9,-4.4,-3,-1.4
1977,NFL,Kansas City Chiefs,Kansas City,2,12,0,5th of 5,,225,349,-124,"Wiggin,Bettis",Podolak,Livingston,Podolak,White,17,16,27,28,14,27,27,28,-8.9,3.9,-4.9,0.9,-5.8
1976,NFL,Kansas City Chiefs,Kansas City,5,9,0,4th of 5,,290,376,-86,Wiggin,Lane,Livingston,Lane,White,12,7,25,27,5,21,20,28,-6.1,1.4,-4.7,2.2,-6.9
1975,NFL,Kansas City Chiefs,Kansas City,5,9,0,3rd of 4,,282,341,-59,Wiggin,Thomas,Livingston,Green,Pearson,13,15,19,25,9,17,21,26,-4.2,0,-4.2,-0.6,-3.7
1974,NFL,Kansas City Chiefs,Kansas City,5,9,0,3rd of 4,,233,293,-60,Stram,Thomas,Dawson,Green,Pearson,18,16,21,25,6,19,20,26,-4.3,1.9,-2.4,-1.3,-1.1
1973,NFL,Kansas City Chiefs,Kansas City,7,5,2,2nd of 4,,231,192,39,Stram,Lanier,Livingston,Podolak,Taylor,19,20,5,7,6,11,13,26,2.8,-1.8,1,-4.2,5.1
1972,NFL,Kansas City Chiefs,Kansas City,8,6,0,2nd of 4,,287,254,33,Stram,Bell,Dawson,Podolak,Taylor,15,17,13,15,4,13,17,26,2.4,0.2,2.6,0.4,2.2
1971,NFL,Kansas City Chiefs*,Kansas City,10,3,1,1st of 4,Lost Div,302,208,94,Stram,Taylor,Dawson,Podolak,Taylor,8,9,5,7,8,5,7,26,6.7,-1.7,5.1,0.6,4.5
1970,NFL,Kansas City Chiefs,Kansas City,7,5,2,2nd of 4,,272,244,28,Stram,Bell,Dawson,Podolak,Taylor,15,22,8,6,5,11,16,26,2,-0.5,1.5,-0.1,1.6
1969,AFL,Kansas City Chiefs*,Kansas City,11,3,0,2nd of 5,Won SB,359,177,182,Stram,Bell,Dawson,Garrett,Taylor,2,3,1,1,3,1,1,10,13,-1.1,11.9,3.5,8.4
1968,AFL,Kansas City Chiefs*,Kansas City,12,2,0,1st of 5,Lost Div,371,170,201,Stram,Bell,Dawson,Holmes,Pitts,4,4,1,4,1,2,5,10,14.4,-0.4,14,3.8,10.1
1967,AFL,Kansas City Chiefs,Kansas City,9,5,0,2nd of 4,,408,254,154,Stram,Garrett,Dawson,Garrett,Taylor,2,4,3,4,1,2,3,9,11,-0.7,10.3,6,4.2
1966,AFL,Kansas City Chiefs*,Kansas City,11,2,1,1st of 4,Lost SB,448,276,172,Stram,Taylor,Dawson,Garrett,Taylor,1,1,2,2,2,1,1,9,12.3,-1.3,11,9.8,1.2
1965,AFL,Kansas City Chiefs,Kansas City,7,5,2,3rd of 4,,322,285,37,Stram,McClinton,Dawson,McClinton,McClinton,2,3,4,2,6,4,2,8,2.6,-0.3,2.3,1.4,0.9
1964,AFL,Kansas City Chiefs,Kansas City,7,7,0,2nd of 4,,366,306,60,Stram,Dawson,Dawson,Haynes,Jackson,2,4,4,2,3,3,2,8,4.3,-0.5,3.8,2.8,1
1963,AFL,Kansas City Chiefs,Kansas City,5,7,2,3rd of 4,,347,263,84,Stram,Holub,Dawson,McClinton,Burford,3,5,3,5,3,2,5,8,6,-0.8,5.3,1,4.2
1962,AFL,Dallas Texans*,Dallas,11,3,0,1st of 4,Won Champ,389,233,156,Stram,Haynes,Dawson,Haynes,Burford,1,2,1,1,1,1,1,8,11.1,-1.4,9.8,3.8,5.9
1961,AFL,Dallas Texans,Dallas,6,8,0,2nd of 4,,334,343,-9,Stram,Haynes,Davidson,Haynes,Burford,4,2,5,5,5,4,3,8,-0.6,0.1,-0.6,-0.6,0
1960,AFL,Dallas Texans,Dallas,8,6,0,2nd of 4,,362,253,109,Stram,Headrick,Davidson,Haynes,Burford,4,5,1,2,1,1,1,8,7.8,-1,6.8,0.8,6
2018,NFL,Los Angeles Chargers*,Los Angeles,12,4,0,2nd of 4,Lost Div,428,329,99,Lynn,Rivers,Rivers,Gordon,Allen,6,11,8,9,15,7,6,32,6.2,-0.2,6,3,2.9
2017,NFL,Los Angeles Chargers,Los Angeles,9,7,0,2nd of 4,,355,272,83,Lynn,Hayward,Rivers,Gordon,Allen,13,4,3,15,3,9,6,32,5.2,-1.5,3.6,-0.3,4
2016,NFL,San Diego Chargers,San Diego,5,11,0,4th of 4,,410,423,-13,McCoy,Rivers,Rivers,Gordon,Williams,9,14,29,16,26,22,13,32,-0.8,0.9,0.1,3,-3
2015,NFL,San Diego Chargers,San Diego,4,12,0,4th of 4,,320,398,-78,McCoy,Rivers,Rivers,Gordon,Woodhead,26,9,21,20,19,27,13,32,-4.9,2.2,-2.6,-1.5,-1.1
2014,NFL,San Diego Chargers,San Diego,9,7,0,2nd of 4,,348,348,0,McCoy,Rivers,Rivers,Oliver,Floyd,17,18,13,9,22,17,16,32,0,1.9,1.9,0.7,1.2
2013,NFL,San Diego Chargers*,San Diego,9,7,0,3rd of 4,Lost Div,396,348,48,McCoy,Rivers,Rivers,Mathews,Allen,12,5,11,23,20,12,9,32,3,-0.3,2.7,0.5,2.1
2012,NFL,San Diego Chargers,San Diego,7,9,0,2nd of 4,,350,350,0,Turner,Weddle,Rivers,Mathews,Floyd,20,31,16,9,14,16,25,32,0,-2.3,-2.3,-2,-0.4
2011,NFL,San Diego Chargers,San Diego,8,8,0,2nd of 4,,406,377,29,Turner,Rivers,Rivers,Mathews,Jackson,5,6,22,16,25,11,6,32,1.8,-0.9,0.9,2.7,-1.8
2010,NFL,San Diego Chargers,San Diego,9,7,0,2nd of 4,,441,322,119,Turner,Rivers,Rivers,Tolbert,Gates,2,1,10,1,23,5,1,32,7.4,-2.6,4.8,3.2,1.6
2009,NFL,San Diego Chargers*,San Diego,13,3,0,1st of 4,Lost Div,454,320,134,Turner,Rivers,Rivers,Tomlinson,Jackson,4,10,11,16,6,5,12,32,8.4,-1.7,6.6,6.4,0.2
2008,NFL,San Diego Chargers*,San Diego,8,8,0,1st of 4,Lost Div,439,347,92,Turner,Rivers,Rivers,Tomlinson,Jackson,2,11,15,25,11,7,21,32,5.8,-0.8,5,5,0
2007,NFL,San Diego Chargers*,San Diego,11,5,0,1st of 4,Lost Conf,412,284,128,Turner,Tomlinson,Rivers,Tomlinson,Gates,5,20,5,14,1,5,19,32,8,0.8,8.8,4.3,4.5
2006,NFL,San Diego Chargers*,San Diego,14,2,0,1st of 4,Lost Div,492,303,189,Schottenheimer,Tomlinson,Rivers,Tomlinson,Gates,1,4,7,10,3,1,2,32,11.8,-1.6,10.2,10,0.2
2005,NFL,San Diego Chargers,San Diego,9,7,0,3rd of 4,,418,312,106,Schottenheimer,Tomlinson,Brees,Tomlinson,Gates,5,10,13,13,25,7,6,32,6.6,3.3,9.9,7.1,2.9
2004,NFL,San Diego Chargers*,San Diego,12,4,0,1st of 4,Lost WC,446,313,133,Schottenheimer,Tomlinson,Brees,Tomlinson,Gates,3,10,11,18,3,3,13,32,8.3,0.8,9.1,6.1,3
2003,NFL,San Diego Chargers,San Diego,4,12,0,4th of 4,,313,441,-128,Schottenheimer,Tomlinson,Brees,Tomlinson,Boston,16,14,31,27,28,30,24,32,-8,1.2,-6.8,-0.6,-6.2
2002,NFL,San Diego Chargers,San Diego,8,8,0,3rd of 4,,333,367,-34,Schottenheimer,Tomlinson,Brees,Tomlinson,Conway,20,16,22,30,13,21,26,32,-2.1,1.4,-0.7,-1,0.2
2001,NFL,San Diego Chargers,San Diego,5,11,0,5th of 5,,332,321,11,Riley,Wiley,Flutie,Tomlinson,Conway,14,11,16,11,13,13,8,31,0.7,-1,-0.3,0.3,-0.6
2000,NFL,San Diego Chargers,San Diego,1,15,0,5th of 5,,269,440,-171,Riley,Seau,Leaf,Fletcher,Graham,26,28,29,13,31,28,22,31,-10.7,2.6,-8.1,-3.7,-4.4
1999,NFL,San Diego Chargers,San Diego,8,8,0,3rd of 5,,269,316,-47,Riley,Seau,Harbaugh,Fazande,Graham,28,26,10,12,25,22,23,31,-2.9,2,-1,-3.9,2.9
1998,NFL,San Diego Chargers,San Diego,5,11,0,5th of 5,,241,342,-101,"Jones,Gilbride",Seau,Whelihan,Means,Jones,29,24,18,1,30,26,10,30,-6.3,-2.1,-8.4,-7.7,-0.7
1997,NFL,San Diego Chargers,San Diego,4,12,0,5th of 5,,266,425,-159,Gilbride,Seau,Humphries,Brown,Martin,26,28,30,21,25,30,28,30,-9.9,1,-8.9,-4.1,-4.8
1996,NFL,San Diego Chargers,San Diego,8,8,0,3rd of 5,,310,376,-66,Ross,Seau,Humphries,Russell,Martin,18,26,24,23,9,22,28,30,-4.1,2.4,-1.8,0.4,-2.1
1995,NFL,San Diego Chargers*,San Diego,9,7,0,2nd of 5,Lost WC,321,323,-2,Ross,Seau,Humphries,Means,Martin,19,16,6,10,19,16,14,30,-0.1,1.6,1.5,-0.6,2.1
1994,NFL,San Diego Chargers*,San Diego,11,5,0,1st of 5,Lost SB,381,306,75,Ross,Seau,Humphries,Means,Martin,5,11,9,14,6,6,11,28,4.7,-1.1,3.6,2.9,0.7
1993,NFL,San Diego Chargers,San Diego,8,8,0,4th of 5,,322,290,32,Ross,Seau,Humphries,Butts,Miller,10,14,12,18,1,10,19,28,2,0.3,2.3,1.1,1.1
1992,NFL,San Diego Chargers*,San Diego,11,5,0,1st of 5,Lost Div,335,241,94,Ross,Seau,Humphries,Butts,Miller,9,6,4,4,12,7,5,28,5.9,-2.8,3.1,1.9,1.3
1991,NFL,San Diego Chargers,San Diego,4,12,0,5th of 5,,274,342,-68,Henning,Byrd,Friesz,Butts,Miller,21,13,21,19,11,22,14,28,-4.3,2,-2.2,-0.6,-1.7
1990,NFL,San Diego Chargers,San Diego,6,10,0,4th of 5,,315,281,34,Henning,O'Neal,Tolliver,Butts,Miller,17,15,10,5,14,12,7,28,2.1,0.2,2.3,-0.1,2.5
1989,NFL,San Diego Chargers,San Diego,6,10,0,5th of 5,,266,290,-24,Henning,Williams,McMahon,Butts,Miller,23,21,9,6,16,17,14,28,-1.5,0.8,-0.7,-2.9,2.1
1988,NFL,San Diego Chargers,San Diego,6,10,0,4th of 5,,231,332,-101,Saunders,Williams,Malone,Anderson,Holland,27,26,18,21,22,27,26,28,-6.3,-1.1,-7.4,-7.1,-0.2
1987,NFL,San Diego Chargers,San Diego,8,7,0,3rd of 5,,253,317,-64,Saunders,Smith,Fouts,Adams,Chandler,27,21,15,15,26,23,18,28,-4.3,0.5,-3.7,-4.3,0.5
1986,NFL,San Diego Chargers,San Diego,4,12,0,5th of 5,,335,396,-61,"Saunders,Coryell",Anderson,Fouts,Anderson,Chandler,15,12,24,23,26,23,17,28,-3.8,1.9,-1.9,1.2,-3.1
1985,NFL,San Diego Chargers,San Diego,8,8,0,4th of 5,,467,435,32,Coryell,James,Fouts,James,Chandler,1,1,25,28,22,11,10,28,2,-0.9,1.1,8.3,-7.2
1984,NFL,San Diego Chargers,San Diego,7,9,0,5th of 5,,394,413,-19,Coryell,Fouts,Fouts,Jackson,Joiner,6,4,24,26,15,17,7,28,-1.2,2,0.8,4.8,-4
1983,NFL,San Diego Chargers,San Diego,6,10,0,4th of 5,,358,462,-104,Coryell,Winslow,Fouts,Muncie,Winslow,12,1,28,26,27,26,11,28,-6.5,1.9,-4.6,1.1,-5.7
1982,NFL,San Diego Chargers*,San Diego,6,3,0,2nd of 5,Lost Div,288,221,67,Coryell,Fouts,Fouts,Muncie,Chandler,1,1,24,25,5,3,1,28,7.4,-2.1,5.3,10.6,-5.3
1981,NFL,San Diego Chargers*,San Diego,10,6,0,1st of 5,Lost Conf,478,390,88,Coryell,Fouts,Fouts,Muncie,Joiner,1,1,26,27,13,5,6,28,5.5,-1.1,4.4,9.2,-4.7
1980,NFL,San Diego Chargers*,San Diego,11,5,0,1st of 5,Lost Conf,418,327,91,Coryell,Fouts,Fouts,Muncie,Jefferson,4,1,18,6,25,6,1,28,5.7,0.4,6,6.5,-0.4
1979,NFL,San Diego Chargers*,San Diego,12,4,0,1st of 5,Lost Div,411,246,165,Coryell,Fouts,Fouts,Williams,Jefferson,2,5,2,5,5,1,4,28,10.3,1.5,11.8,6,5.7
1978,NFL,San Diego Chargers,San Diego,9,7,0,4th of 5,,355,309,46,"Coryell,Prothro",Fouts,Fouts,Mitchell,Jefferson,6,4,21,8,27,7,4,28,2.9,0.7,3.6,4.6,-0.9
1977,NFL,San Diego Chargers,San Diego,7,7,0,3rd of 5,,222,205,17,Prothro,Kelcher,Harris,Young,Joiner,18,15,6,6,12,11,9,28,1.2,2.5,3.7,-1.4,5.2
1976,NFL,San Diego Chargers,San Diego,6,8,0,3rd of 5,,248,285,-37,Prothro,Joiner,Fouts,Young,Joiner,19,11,18,22,15,17,15,28,-2.6,1.5,-1.2,-1.7,0.5
1975,NFL,San Diego Chargers,San Diego,2,12,0,4th of 4,,189,345,-156,Prothro,Fouts,Fouts,Young,Curran,25,25,20,23,11,23,26,26,-11.1,1.7,-9.4,-6,-3.4
1974,NFL,San Diego Chargers,San Diego,5,9,0,4th of 4,,212,285,-73,Prothro,Woods,Fouts,Woods,Garrison,20,7,19,26,19,20,18,26,-5.2,0.4,-4.8,-3.5,-1.3
1973,NFL,San Diego Chargers,San Diego,2,11,1,4th of 4,,188,386,-198,"Waller,Svare",Smith,Fouts,Edwards,LeVias,25,19,24,22,25,25,21,26,-14.1,2.1,-12,-3.6,-8.4
1972,NFL,San Diego Chargers,San Diego,4,9,1,4th of 4,,264,344,-80,Svare,Edwards,Hadl,Garrett,Garrison,18,10,20,10,25,20,10,26,-5.7,2.9,-2.8,-0.2,-2.6
1971,NFL,San Diego Chargers,San Diego,6,8,0,3rd of 4,,311,341,-30,"Gillman,Svare",Hadl,Hadl,Garrett,Garrison,7,2,23,24,20,15,11,26,-2.1,-1.9,-4.1,2.6,-6.6
1970,NFL,San Diego Chargers,San Diego,5,6,3,3rd of 4,,282,278,4,Waller,Garrison,Hadl,Queen,Garrison,14,15,17,21,13,14,18,26,0.3,-1,-0.7,0.5,-1.2
1969,AFL,San Diego Chargers,San Diego,8,6,0,3rd of 5,,288,276,12,"Waller,Gillman",Alworth,Hadl,Post,Alworth,5,2,4,6,5,4,5,10,0.9,0.7,1.5,-0.5,2
1968,AFL,San Diego Chargers,San Diego,9,5,0,3rd of 5,,382,310,72,Gillman,Alworth,Hadl,Post,Alworth,3,2,5,6,9,4,3,10,5.1,1,6.2,5.8,0.4
1967,AFL,San Diego Chargers,San Diego,8,5,1,3rd of 4,,360,352,8,Gillman,Hadl,Hadl,Post,Alworth,4,2,6,7,7,5,4,9,0.6,-0.2,0.3,3.2,-2.9
1966,AFL,San Diego Chargers,San Diego,7,6,1,3rd of 4,,335,284,51,Gillman,Alworth,Hadl,Lowe,Alworth,3,5,4,7,1,3,6,9,3.6,0.5,4.1,1.7,2.4
1965,AFL,San Diego Chargers*,San Diego,9,2,3,1st of 4,Lost Champ,340,227,113,Gillman,Alworth,Hadl,Lowe,Alworth,1,1,2,1,3,1,1,8,8.1,-1,7.1,2.1,4.9
1964,AFL,San Diego Chargers*,San Diego,8,5,1,1st of 4,Lost Champ,341,300,41,Gillman,Alworth,Hadl,Lincoln,Alworth,4,5,3,3,5,4,3,8,2.9,-0.4,2.6,0.9,1.7
1963,AFL,San Diego Chargers*,San Diego,11,3,0,1st of 4,Won Champ,399,255,144,Gillman,Alworth,Rote,Lowe,Alworth,1,1,1,4,2,1,1,8,10.3,-1.3,9,4.8,4.3
1962,AFL,San Diego Chargers,San Diego,4,10,0,3rd of 4,,314,392,-78,Gillman,Harris,Hadl,Lincoln,Norton,5,6,7,4,6,6,6,8,-5.6,0.7,-4.9,0,-4.9
1961,AFL,San Diego Chargers*,San Diego,12,2,0,1st of 4,Lost Champ,396,219,177,Gillman,Harris,Kemp,Lowe,Kocourek,3,3,1,1,1,2,2,8,12.6,-1.6,11.1,2.6,8.4
1960,AFL,Los Angeles Chargers*,Los Angeles,10,4,0,1st of 4,Lost Champ,373,336,37,Gillman,Kemp,Kemp,Lowe,Kocourek,3,3,4,3,4,3,2,8,2.6,-0.3,2.3,2.5,-0.2
2018,NFL,Los Angeles Rams*,Los Angeles,13,3,0,1st of 4,Lost SB,527,384,143,McVay,Goff,Goff,Gurley,Woods,2,2,20,19,4,3,3,32,8.9,-0.4,8.5,9.5,-1.1
2017,NFL,Los Angeles Rams*,Los Angeles,11,5,0,1st of 4,Lost WC,478,329,149,McVay,Gurley,Goff,Gurley,Kupp,1,10,12,19,9,3,10,32,9.3,-0.2,9.2,8.2,1
2016,NFL,Los Angeles Rams,Los Angeles,4,12,0,3rd of 4,,224,394,-170,"Fisher,Fassel",Donald,Keenum,Gurley,Britt,32,32,23,9,28,30,30,32,-10.6,-0.5,-11.1,-9.5,-1.6
2015,NFL,St. Louis Rams,St. Louis,7,9,0,3rd of 4,,280,330,-50,Fisher,Donald,Foles,Gurley,Britt,29,32,13,23,14,19,31,32,-3.1,3,-0.2,-3.8,3.6
2014,NFL,St. Louis Rams,St. Louis,6,10,0,4th of 4,,324,354,-30,Fisher,Quinn,Davis,Mason,Britt,21,28,16,17,19,21,25,32,-1.9,1,-0.8,-1.2,0.4
2013,NFL,St. Louis Rams,St. Louis,7,9,0,4th of 4,,348,364,-16,Fisher,Quinn,Bradford,Stacy,Cook,21,30,13,15,9,17,27,32,-1,3.2,2.2,0.4,1.8
2012,NFL,St. Louis Rams,St. Louis,7,8,1,3rd of 4,,299,348,-49,Fisher,Dunbar,Bradford,Jackson,Givens,25,23,14,14,17,22,20,32,-3.1,3.4,0.4,-2.1,2.4
2011,NFL,St. Louis Rams,St. Louis,2,14,0,4th of 4,,193,407,-214,Spagnuolo,Laurinaitis,Bradford,Jackson,Lloyd,32,31,26,22,23,32,30,32,-13.4,2.9,-10.4,-8.4,-2.1
2010,NFL,St. Louis Rams,St. Louis,7,9,0,2nd of 4,,289,328,-39,Spagnuolo,Jackson,Bradford,Jackson,Amendola,26,26,12,19,10,19,24,32,-2.4,-4.2,-6.7,-6.3,-0.4
2009,NFL,St. Louis Rams,St. Louis,1,15,0,4th of 4,,175,436,-261,Spagnuolo,Jackson,Bulger,Jackson,Avery,32,29,31,29,30,32,30,32,-16.3,-1.1,-17.4,-11.7,-5.8
2008,NFL,St. Louis Rams,St. Louis,2,14,0,4th of 4,,232,465,-233,"Haslett,Linehan",Jackson,Bulger,Jackson,Holt,30,27,31,28,23,31,28,32,-14.6,-0.5,-15.1,-8.1,-7
2007,NFL,St. Louis Rams,St. Louis,3,13,0,4th of 4,,263,438,-175,Linehan,Jackson,Bulger,Jackson,Holt,28,24,31,21,27,32,25,32,-10.9,-2,-13,-6.5,-6.5
2006,NFL,St. Louis Rams,St. Louis,8,8,0,2nd of 4,,367,381,-14,Linehan,Jackson,Bulger,Jackson,Holt,10,6,28,23,2,18,11,32,-0.9,-3.1,-4,0.8,-4.7
2005,NFL,St. Louis Rams,St. Louis,6,10,0,2nd of 4,,363,429,-66,"Vitt,Martz",Holt,Bulger,Jackson,Holt,11,9,31,30,28,21,22,32,-4.1,-1,-5.1,1.3,-6.4
2004,NFL,St. Louis Rams*,St. Louis,8,8,0,2nd of 4,Lost Div,319,392,-73,Martz,Bulger,Bulger,Faulk,Holt,19,6,25,17,32,25,8,32,-4.6,-1.4,-6,-2.2,-3.8
2003,NFL,St. Louis Rams*,St. Louis,12,4,0,1st of 4,Lost Div,447,328,119,Martz,Holt,Bulger,Faulk,Holt,2,9,17,16,7,3,12,32,7.4,-1.6,5.9,6,-0.2
2002,NFL,St. Louis Rams,St. Louis,7,9,0,2nd of 4,,316,369,-53,Martz,Holt,Bulger,Faulk,Holt,23,13,23,13,32,25,11,32,-3.3,0,-3.3,-1.6,-1.8
2001,NFL,St. Louis Rams*,St. Louis,14,2,0,1st of 5,Lost SB,503,273,230,Martz,Faulk,Warner,Faulk,Holt,1,1,7,3,26,1,1,31,14.4,-1,13.4,10.4,2.9
2000,NFL,St. Louis Rams*,St. Louis,10,6,0,2nd of 5,Lost WC,540,471,69,Martz,Pace,Warner,Faulk,Holt,1,1,31,23,26,10,1,31,4.3,-1.2,3.1,12.6,-9.5
1999,NFL,St. Louis Rams*,St. Louis,13,3,0,1st of 5,Won SB,526,242,284,Vermeil,Faulk,Warner,Faulk,Bruce,1,1,4,6,9,1,1,31,17.8,-5.9,11.9,8.7,3.2
1998,NFL,St. Louis Rams,St. Louis,4,12,0,5th of 5,,285,378,-93,Vermeil,Carter,Banks,Henley,Proehl,24,27,24,10,27,25,22,30,-5.8,3.5,-2.3,-2.3,0
1997,NFL,St. Louis Rams,St. Louis,5,11,0,5th of 5,,299,359,-60,Vermeil,Banks,Banks,Phillips,Lee,23,21,19,17,6,23,19,30,-3.8,-0.2,-4,-1.8,-2.2
1996,NFL,St. Louis Rams,St. Louis,6,10,0,3rd of 5,,303,409,-106,Brooks,Bruce,Banks,Phillips,Bruce,20,27,27,26,21,27,30,30,-6.6,0.3,-6.3,-1.7,-4.6
1995,NFL,St. Louis Rams,St. Louis,7,9,0,3rd of 5,,309,418,-109,Brooks,Bruce,Miller,Bettis,Bruce,22,15,29,12,19,27,15,30,-6.8,0.4,-6.4,-1.8,-4.6
1994,NFL,Los Angeles Rams,Los Angeles,4,12,0,4th of 4,,286,365,-79,Knox,Anderson,Miller,Bettis,Anderson,21,21,23,16,25,24,20,28,-4.9,-0.3,-5.3,-3.2,-2.1
1993,NFL,Los Angeles Rams,Los Angeles,5,11,0,4th of 4,,221,367,-146,Knox,Bettis,Everett,Bettis,Ellard,26,18,25,24,23,27,22,28,-9.1,0.7,-8.4,-5,-3.4
1992,NFL,Los Angeles Rams,Los Angeles,6,10,0,4th of 4,,313,383,-70,Knox,Everett,Everett,Gary,Ellard,12,13,27,27,19,20,22,28,-4.4,1.5,-2.9,1.1,-4
1991,NFL,Los Angeles Rams,Los Angeles,3,13,0,4th of 4,,234,390,-156,Robinson,Everett,Everett,Delpino,Ellard,24,18,27,23,28,25,21,28,-9.8,3.7,-6,-2.6,-3.4
